State,Head of state (USD),Head of government (USD),Head of state salary divided by GDP [1 per million],Head of government salary divided by GDP [1 per million],Head of state salary divided by GDP per capita,Head of government salary divided by GDP per capita
Japan,"3,075,316 USD (Emperor) royal grant[18]","254,932 USD (Prime Minister)[33][18]",0.6336,0.0416,80.3041,5.2732
Jordan,"847,457 USD (King)[81]","253,800 USD (Prime Minister)[82]",,6.2687,,44.6988
Kazakhstan,"20,400 USD (President)[83][84]","2,630 USD (Ministers)[85]",0.1268,0.0164,2.3074,0.2975
Kenya,"192,200 USD (President)[86][6][7]","173,300 USD (Deputy President)[86]",1.6601,,77.5558,
Kiribati,"11,158 USD (President)[87]","11,158 USD (President)[87]",50.1505,50.1505,5.4201,5.4201
Kuwait,"165,000,000 USD (Emir) royal allocation  [88][89]",,,,,
Kyrgyzstan,"18,800 USD (President)[citation needed]","12,800 USD (Prime Minister)[citation needed]",2.6625,1.8128,16.4336,11.1888
Laos,"1,630 USD (President)[90]",,,,,
Latvia,"70,718 USD (President)[18]","59,644 USD (Prime Minister)[18]",2.3325,1.9672,4.5487,3.8364
Lebanon,"150,000 USD (President)[91]","141,900 USD (Prime Minister)[91]",2.9151,2.9151,13.1475,13.1475
Lesotho,"52,778 USD (King) privy purse[92]","36,650 USD (Prime Minister)[7]",,13.4693,,25.7193
Liberia,"90,000 USD (President)[6]","90,000 USD (President)[6]",42.0561,42.0561,123.4568,123.4568
Libya,"105,000 USD (President)[6]",,3.3513,,21.6094,
Liechtenstein,0 USD (Prince)[9],"254,660 USD (Prime Minister)[93]",,,,
Lithuania,"86,136  USD (President)[6]","50,100 (Prime Minister)",1.8225,1.06,5.1486,2.9946
Luxembourg,"12,333,102 USD (Grand Duke) royal grant[9]","278,000 USD (Prime Minister)[18]",197.668,4.4556,116.5667,2.6275
Madagascar,,,,,,
Malawi,"74,300 USD (President)[7]","74,300 USD (President)[7]",11.8671,11.8671,229.321,229.321
Malaysia,"263,500 USD (Yang di-Pertuan Agong)[94]","61,844 USD (Prime Minister)[95][96]",0.8378,0.1966,26.8521,6.3023
Maldives,"77,768 USD (President)[97]","77,768 USD (President)[97]",17.2053,17.2053,6.208,6.208
Mali,"68,900 USD (President)[7]","23,280 USD (Prime Minister)[98]",4.5939,,84.9568,
Malta,"70,955 USD (President)[99]","56,900 USD (Prime Minister)[100]",5.9075,4.7373,2.6039,2.0881
Marshall Islands,"60,000 USD (President)[101]","60,000 USD (President)[101]",,,,
Mauritania,"300,000 USD (President)[102][75]",,60.1805,,227.6176,
Mauritius,"93,783 USD (President)[103]","187,968 USD (Prime Minister)[104]",7.6414,15.3156,9.5756,19.1922
Mexico,"67,903 USD (President)[105]","67,903 USD (President)[105]",0.0590,0.0590,7.2981,7.2981
